datetime,timestamp,open,high,low,close,volume,open_interest,funding_rate
2025-07-25 13:00:00+00:00,1753448400000,774.7,776.37,770.16,774.74,34988.46,597148.29,5.81e-06
2025-07-25 14:00:00+00:00,1753452000000,774.75,775.09,761.1,761.52,50195.22,593902.81,9.76e-06
2025-07-25 15:00:00+00:00,1753455600000,761.51,768.42,761.02,766.22,35455.75,593203.38,1.794e-05
2025-07-25 16:00:00+00:00,1753459200000,766.22,774.0,763.72,773.44,37304.7,598483.63,5.257e-05
2025-07-25 17:00:00+00:00,1753462800000,773.44,777.56,772.94,776.47,33569.02,602122.23,0.00010055
2025-07-25 18:00:00+00:00,1753466400000,776.48,777.77,774.6,776.17,23085.78,601482.6,0.00011756
2025-07-25 19:00:00+00:00,1753470000000,776.17,777.93,774.29,774.63,20188.57,605685.81,0.0001151
2025-07-25 20:00:00+00:00,1753473600000,774.64,779.7,773.93,777.89,18220.94,606545.48,0.00011145
2025-07-25 21:00:00+00:00,1753477200000,777.91,781.99,777.89,779.47,21459.25,605897.47,0.00011175
2025-07-25 22:00:00+00:00,1753480800000,779.47,784.96,778.8,784.0,22394.98,608125.36,0.00012532
2025-07-25 23:00:00+00:00,1753484400000,784.01,786.5,782.96,785.98,21638.07,608309.48,0.00013733
2025-07-26 00:00:00+00:00,1753488000000,785.98,786.18,782.08,782.93,21951.12,609663.41,0.0001377
2025-07-26 01:00:00+00:00,1753491600000,782.92,784.5,778.81,779.09,18756.45,609438.18,0.00011866
2025-07-26 02:00:00+00:00,1753495200000,779.09,785.0,779.09,783.94,20971.88,608987.14,0.00011324
2025-07-26 03:00:00+00:00,1753498800000,783.94,784.78,782.67,783.92,8695.17,609118.63,9.795e-05
2025-07-26 04:00:00+00:00,1753502400000,783.93,784.55,781.18,782.26,16273.08,608601.99,6.39e-05
2025-07-26 05:00:00+00:00,1753506000000,782.27,782.42,780.85,781.14,8602.24,607861.8,3.334e-05
2025-07-26 06:00:00+00:00,1753509600000,781.15,783.65,780.91,783.23,9876.16,608785.22,1.97e-05
2025-07-26 07:00:00+00:00,1753513200000,783.24,784.32,782.62,782.96,7570.74,609776.52,6.29e-06
2025-07-26 08:00:00+00:00,1753516800000,782.97,784.79,781.99,784.39,10875.04,609631.5,2.1e-06
2025-07-26 09:00:00+00:00,1753520400000,784.4,784.84,783.27,784.26,9284.99,609735.4,0.0
2025-07-26 10:00:00+00:00,1753524000000,784.26,785.99,782.28,782.43,17497.08,608693.59,0.0
2025-07-26 11:00:00+00:00,1753527600000,782.43,783.85,780.59,782.28,21211.73,610361.4,0.0
2025-07-26 12:00:00+00:00,1753531200000,782.29,783.5,780.95,782.99,9432.13,611699.15,1.216e-05
2025-07-26 13:00:00+00:00,1753534800000,783.0,783.73,782.13,782.27,7933.26,611037.92,1.238e-05
2025-07-26 14:00:00+00:00,1753538400000,782.27,782.76,780.71,780.72,10770.81,611994.21,8.52e-06
2025-07-26 15:00:00+00:00,1753542000000,780.72,782.2,779.68,781.73,9511.67,611479.18,1.57e-06
2025-07-26 16:00:00+00:00,1753545600000,781.74,782.3,779.67,780.41,11197.23,611799.82,1.56e-06
2025-07-26 17:00:00+00:00,1753549200000,780.42,780.6,778.83,779.89,8203.04,611485.01,6.39e-06
2025-07-26 18:00:00+00:00,1753552800000,779.89,783.29,779.47,782.41,8016.47,611023.76,2.816e-05
2025-07-26 19:00:00+00:00,1753556400000,782.41,785.55,782.28,785.45,8940.39,612554.59,5.351e-05
2025-07-26 20:00:00+00:00,1753560000000,785.44,786.31,784.04,785.31,11684.29,614401.15,8.654e-05
2025-07-26 21:00:00+00:00,1753563600000,785.31,790.0,784.81,789.66,21051.58,618070.89,0.00013135
2025-07-26 22:00:00+00:00,1753567200000,789.66,799.0,789.65,791.87,90123.5,614414.42,0.00015692
2025-07-26 23:00:00+00:00,1753570800000,791.87,796.74,791.84,793.61,35217.57,611435.18,0.00012703
2025-07-27 00:00:00+00:00,1753574400000,793.57,798.6,791.16,797.59,32527.41,613911.92,7.678e-05
