open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-06-02 10:00:00,32.795,33.04,32.588,32.637,118690.87,2025-06-02 10:59:59.999,3888504.04731,27863,55326.93,1813430.5970100,0
2025-06-02 11:00:00,32.638,32.844,32.483,32.664,101900.85,2025-06-02 11:59:59.999,3327366.23251,26170,53745.95,1755841.2125900,0
2025-06-02 12:00:00,32.661,33.096,32.565,33.027,133242.79,2025-06-02 12:59:59.999,4378091.59807,23512,79621.51,2616894.9517000,0
2025-06-02 13:00:00,33.027,33.359,32.417,32.622,236833.39,2025-06-02 13:59:59.999,7782131.33436,38863,106984.16,3518919.0549500,0
2025-06-02 14:00:00,32.618,33.499,32.47,33.201,243703.65,2025-06-02 14:59:59.999,8053603.62965,39337,130161.91,4300121.4654900,0
2025-06-02 15:00:00,33.196,33.644,32.959,33.623,155655.73,2025-06-02 15:59:59.999,5192700.76769,29138,79321.11,2646363.2185600,0
2025-06-02 16:00:00,33.627,33.719,33.222,33.407,129846.97,2025-06-02 16:59:59.999,4344328.0735,24171,58420.80,1955107.5728400,0
2025-06-02 17:00:00,33.4,33.933,33.327,33.925,123581.05,2025-06-02 17:59:59.999,4164501.09445,21242,60008.74,2022727.2340600,0
2025-06-02 18:00:00,33.924,34.863,33.905,34.468,380857.01,2025-06-02 18:59:59.999,13124522.65845,58494,201319.52,6934723.1951800,0
2025-06-02 19:00:00,34.474,35.596,34.257,35.447,382856.85,2025-06-02 19:59:59.999,13392469.81156,64306,209598.17,7336501.8772600,0
2025-06-02 20:00:00,35.447,36.021,35.329,35.884,384246.77,2025-06-02 20:59:59.999,13710780.97617,60900,192601.13,6874345.5647000,0
2025-06-02 21:00:00,35.883,36.07,35.328,35.895,199190.74,2025-06-02 21:59:59.999,7114133.59294,30004,98596.06,3523131.9930500,0
2025-06-02 22:00:00,35.893,36.374,35.818,35.921,247721.25,2025-06-02 22:59:59.999,8932161.25251,41142,122958.60,4436288.3936500,0
2025-06-02 23:00:00,35.921,36.66,35.838,36.474,158541.99,2025-06-02 23:59:59.999,5756166.31112,33011,87069.69,3160977.3308400,0
2025-06-03 00:00:00,36.477,36.969,36.246,36.459,281303.66,2025-06-03 00:59:59.999,10289955.41864,42784,132325.48,4841168.0620400,0
2025-06-03 01:00:00,36.459,36.691,36.146,36.177,177175.82,2025-06-03 01:59:59.999,6446695.57584,33339,81006.93,2947844.5469000,0
2025-06-03 02:00:00,36.18,36.346,35.827,36.054,262127.29,2025-06-03 02:59:59.999,9456952.71438,35153,135269.35,4881269.1137700,0
2025-06-03 03:00:00,36.053,36.162,35.684,35.837,156176.94,2025-06-03 03:59:59.999,5608426.44978,28019,65981.78,2370721.5419200,0
2025-06-03 04:00:00,35.836,36.007,35.658,35.697,121174.34,2025-06-03 04:59:59.999,4340366.45149,24292,66970.77,2399658.2833000,0
2025-06-03 05:00:00,35.693,36.277,35.693,36.235,130885.82,2025-06-03 05:59:59.999,4710979.81996,22509,85537.52,3079209.8454000,0
2025-06-03 06:00:00,36.237,36.38,35.914,36.257,115473.39,2025-06-03 06:59:59.999,4174995.77587,22202,57917.86,2094597.9466000,0
2025-06-03 07:00:00,36.257,36.297,35.914,36.147,107805.1,2025-06-03 07:59:59.999,3894453.35579,21384,48280.88,1744676.0970600,0
2025-06-03 08:00:00,36.145,36.434,35.763,36.417,141593.74,2025-06-03 08:59:59.999,5106563.00029,25580,66888.95,2413848.5219300,0
2025-06-03 09:00:00,36.417,36.978,36.289,36.745,246763.51,2025-06-03 09:59:59.999,9040224.65456,37320,143831.19,5270546.0350400,0
2025-06-03 10:00:00,36.737,37.746,36.542,37.675,534760.2,2025-06-03 10:59:59.999,19974090.0276,80802,284937.40,10647021.3229800,0
2025-06-03 11:00:00,37.675,37.829,37.27,37.516,373395.99,2025-06-03 11:59:59.999,14029026.16643,51069,171853.32,6457752.6356300,0
2025-06-03 12:00:00,37.516,37.888,37.226,37.641,220699.9,2025-06-03 12:59:59.999,8290994.71521,38076,115323.28,4333631.6437100,0
2025-06-03 13:00:00,37.638,37.924,37.116,37.912,342034.79,2025-06-03 13:59:59.999,12865619.96939,48341,174129.47,6556080.7006000,0
2025-06-03 14:00:00,37.91,38.238,37.31,38.139,427411.23,2025-06-03 14:59:59.999,16140593.25962,60855,226112.59,8544187.7498000,0
2025-06-03 15:00:00,38.139,38.235,37.669,37.843,314415.42,2025-06-03 15:59:59.999,11941701.68029,55629,157626.54,5988245.1871800,0
2025-06-03 16:00:00,37.843,37.944,36.869,36.978,375429.96,2025-06-03 16:59:59.999,14049922.88023,55269,152129.97,5701452.8977800,0
2025-06-03 17:00:00,36.98,37.393,36.708,36.817,206869.28,2025-06-03 17:59:59.999,7666317.08991,40519,105342.74,3906768.9944700,0
2025-06-03 18:00:00,36.82,36.946,36.559,36.806,155316.82,2025-06-03 18:59:59.999,5711018.26729,33407,75302.94,2770014.1166100,0
2025-06-03 19:00:00,36.806,37.269,36.798,37.004,178625.98,2025-06-03 19:59:59.999,6627631.85871,31851,92224.78,3421288.1103400,0
2025-06-03 20:00:00,37.001,37.048,36.204,36.842,287691.36,2025-06-03 20:59:59.999,10548347.90329,48629,128400.70,4710282.3614000,0
2025-06-03 21:00:00,36.843,36.921,35.706,35.821,237017.49,2025-06-03 21:59:59.999,8593178.49654,46520,99863.46,3621664.9893500,0
2025-06-03 22:00:00,35.819,36.896,35.741,36.592,225154.95,2025-06-03 22:59:59.999,8196018.49194,44852,130047.53,4729774.1452200,0
2025-06-03 23:00:00,36.592,36.748,36.072,36.092,135478.19,2025-06-03 23:59:59.999,4931003.07322,31370,62769.25,2286176.5271800,0
2025-06-04 00:00:00,36.093,36.451,35.738,36.437,274008.35,2025-06-04 00:59:59.999,9889125.73926,51979,151058.26,5454138.4484700,0
2025-06-04 01:00:00,36.44,37.044,36.433,36.939,283667.96,2025-06-04 01:59:59.999,10443076.09667,47310,150688.01,5547648.9104600,0
2025-06-04 02:00:00,36.942,37.026,36.307,36.464,196747.76,2025-06-04 02:59:59.999,7214506.08025,35596,100747.76,3695653.9358900,0
2025-06-04 03:00:00,36.464,36.853,36.341,36.589,99025.62,2025-06-04 03:59:59.999,3628011.45577,24646,55366.77,2028534.5058600,0
2025-06-04 04:00:00,36.585,36.715,36.249,36.294,101851.09,2025-06-04 04:59:59.999,3716137.86161,23931,47169.22,1721327.0504400,0
2025-06-04 05:00:00,36.293,36.687,36.185,36.56,95597.98,2025-06-04 05:59:59.999,3480518.81866,23296,50023.80,1821644.5529200,0
2025-06-04 06:00:00,36.559,36.853,36.424,36.727,120189.75,2025-06-04 06:59:59.999,4408226.70154,24128,53299.18,1953919.3183300,0
